source,target,tgt_lng
"Blackmarket Explosives","黑市炸药","zh-CN"
"+@BonusArmorMR@ Armor & Magic Resist","+@BonusArmorMR@护甲和魔抗","zh-CN"
"+@BonusAS*100@% Attack Speed","+@BonusAS*100@%攻击速度","zh-CN"
"First One's Free!","第一份免费！","zh-CN"
"+@BonusAD*100@% Attack Damage & Ability Power","+@BonusAD*100@%物理加成和法术加成。","zh-CN"
"+@BonusAP@ Ability Power","+@BonusAP@法术加成","zh-CN"
"+@BonusHealthPercent*100@% Max Health","+@BonusHealthPercent*100@%最大生命值","zh-CN"
"+@BonusAD*100@% Attack Damage","+@BonusAD*100@%物理加成","zh-CN"
"Black Market Restock","黑市补货","zh-CN"
"Brigand's Dice","强盗的骰子","zh-CN"
"Pile O' Citrus","成堆柑橘","zh-CN"
"First Mate's Flintlock","大副的燧发枪","zh-CN"
"Treasure Typhoon","宝藏台风","zh-CN"
"Haunted Spyglass","鬼影望远镜","zh-CN"
"Barknuckles","酒吧指虎","zh-CN"
"Captain's Hat","船长的帽子","zh-CN"
"Dreadway Cannon","震畏大炮","zh-CN"
"Captain's Brew","船长的酿造品","zh-CN"
"Bilgewater Lesser Champion Duplicator","比尔吉沃特 次级英雄复制器","zh-CN"
"Gwen's Scissors","格温的剪子","zh-CN"
"Gwen's Scissors <rules>(2 uses left!)</rules>","【格温的剪子】<rules>(还可使用2次！)</rules>","zh-CN"
"Gwen's Scissors <rules>(3 uses left!)</rules>","【格温的剪子】<rules>(还可使用3次！)</rules>","zh-CN"
"Gwen's Scissors <rules>(4 uses left!)</rules>","【格温的剪子】<rules>(还可使用4次！)</rules>","zh-CN"
"Gwen's Scissors <rules>(5 uses left!)</rules>","【格温的剪子】<rules>(还可使用5次！)</rules>","zh-CN"
"Infinity Edge","无尽之刃","zh-CN"
"Radiant Dragon's Claw","光明版巨龙之爪","zh-CN"
"Radiant Striker's Flail","光明版强袭者的链枷","zh-CN"
"Radiant Ionic Spark","光明版离子火花","zh-CN"
"Radiant Quicksilver","光明版水银","zh-CN"
"Radiant Hextech Gunblade","光明版海克斯科技枪刃","zh-CN"
"Radiant Void Staff","光明版虚空之杖","zh-CN"
"Radiant Protector's Vow","光明版圣盾使的誓约","zh-CN"
"Radiant Blue Buff","光明版蓝霸符","zh-CN"
"Radiant Archangel's Staff","光明版大天使之杖","zh-CN"
"Radiant Morellonomicon","光明版莫雷洛秘典","zh-CN"
"Radiant Bramble Vest","光明版棘刺背心","zh-CN"
"Zz'Rot Portal","兹若特传送门","zh-CN"
"Radiant Kraken's Fury","光明版海妖之怒","zh-CN"
"Radiant Guinsoo's Rageblade","光明版鬼索的狂暴之刃","zh-CN"
"Radiant Hand of Justice","光明版正义之手","zh-CN"
"Radiant Sunfire Cape","光明版日炎斗篷","zh-CN"
"Radiant Last Whisper","光明版最后的轻语","zh-CN"
"Radiant Thief's Gloves","光明版窃贼手套","zh-CN"
"Radiant Warmog's Armor","光明版狂徒铠甲","zh-CN"
"Radiant Sterak's Gage","光明版斯特拉克的挑战护手","zh-CN"
"Radiant Spirit Visage","光明版振奋盔甲","zh-CN"
"Radiant Edge of Night","光明版夜之锋刃","zh-CN"
"Radiant Red Buff","光明版红霸符","zh-CN"
"Radiant Steadfast Heart","光明版坚定之心","zh-CN"
"Radiant Titan's Resolve","光明版泰坦的坚决","zh-CN"
"Radiant Giant Slayer","光明版巨人杀手","zh-CN"
"Radiant Crownguard","光明版冕卫","zh-CN"
"Radiant Bloodthirster","光明版饮血剑","zh-CN"
"Radiant Rabadon's Deathcap","光明版灭世者的死亡之帽","zh-CN"
"Radiant Jeweled Gauntlet","光明版珠光护手","zh-CN"
"Radiant Gargoyle Stoneplate","光明版石像鬼石板甲","zh-CN"
"Radiant Nashor's Tooth","光明版纳什之牙","zh-CN"
"Radiant Spear of Shojin","光明版朔极之矛","zh-CN"
"Radiant Evenshroud","光明版薄暮法袍","zh-CN"
"Radiant Infinity Edge","光明版无尽之刃","zh-CN"
"Radiant Deathblade","光明版死亡之刃","zh-CN"
"Radiant Adaptive Helm","光明版适应性头盔","zh-CN"
"Lesser Mirrored Persona","次级镜像人格面具","zh-CN"
"Innervating Locket","激发之匣","zh-CN"
"Protector's Vow","圣盾使的誓约","zh-CN"
"Critical Hit!","暴击命中！","zh-CN"
"Salvager","打捞术","zh-CN"
"Unlock Power (2 uses left)","解锁强化(剩余2次使用)","zh-CN"
"Power Snax","强化果实","zh-CN"
"The Indomitable","顽强不屈","zh-CN"
"Hullcrusher","碎舰者","zh-CN"
"Shroud of Stillness","静止法衣","zh-CN"
"Spirit Visage","振奋盔甲","zh-CN"
"Banshee's Veil","女妖面纱","zh-CN"
"Shadow Puppet","暗影木偶","zh-CN"
"Bruiser Emblem","斗士纹章","zh-CN"
"Invoker Emblem","神谕者纹章","zh-CN"
"Slayer Emblem","裁决战士纹章","zh-CN"
"Vanquisher Emblem","征服者纹章","zh-CN"
"Longshot Emblem","狙神纹章","zh-CN"
"Quickstriker Emblem","迅击战士纹章","zh-CN"
"Disruptor Emblem","耀光使纹章","zh-CN"
"Yordle Emblem","约德尔人纹章","zh-CN"
"Gunslinger Emblem","枪手纹章","zh-CN"
"Void Emblem","虚空纹章","zh-CN"
"Piltover Emblem","皮尔特沃夫纹章","zh-CN"
"Juggernaut Emblem","主宰纹章","zh-CN"
"Bilgewater Emblem","比尔吉沃特纹章","zh-CN"
"Freljord Emblem","弗雷尔卓德纹章","zh-CN"
"Warden Emblem","神盾使纹章","zh-CN"
"Arcanist Emblem","法师纹章","zh-CN"
"Noxus Emblem","诺克萨斯纹章","zh-CN"
"Zaun Emblem","祖安纹章","zh-CN"
"Ixtal Emblem","以绪塔尔纹章","zh-CN"
"Ionia Emblem","艾欧尼亚纹章","zh-CN"
"Demacia Emblem","德玛西亚纹章","zh-CN"
"Defender Emblem","护卫纹章","zh-CN"
"Zephyr","灵风","zh-CN"
"Manazane","魔蕴","zh-CN"
"Mogul's Mail","大亨之铠","zh-CN"
"Gambler's Blade","投机者之刃","zh-CN"
"Needlessly Big Gem","无用大宝石","zh-CN"
"Determined Investor","坚定投资器","zh-CN"
"Diamond Hands","钻石之手","zh-CN"
"Trickster's Glass","诡术师之镜","zh-CN"
"Tactician's Cape","金锅铲冠冕","zh-CN"
"Eternal Pact","永恒契约","zh-CN"
"Zeke's Herald","基克的先驱","zh-CN"
"Thief's Gloves","窃贼手套","zh-CN"
"Guinsoo's Rageblade","鬼索的狂暴之刃","zh-CN"
"Ionic Spark","离子火花","zh-CN"
"Hellfire Hatchet","恶火小斧","zh-CN"
"Sterak's Gage","斯特拉克的挑战护手","zh-CN"
"Dragon's Claw","巨龙之爪","zh-CN"
"Predator Instincts","掠食本能","zh-CN"
"Adrenaline Modules","肾上腺素模块","zh-CN"
"Iron Carapace","坚铁甲壳","zh-CN"
"Spitter Spines","喷吐棘刺","zh-CN"
"Royal Husk","皇室外壳","zh-CN"
"Leeching Nucleus","榨血核体","zh-CN"
"Ace","Ace","zh-CN"
"Lich Bane","巫妖之祸","zh-CN"
"Striker's Flail","强袭者的链枷","zh-CN"
"Sentinel Swarm","魔像狂潮","zh-CN"
"Forbidden Idol","禁忌雕像","zh-CN"
"Pengu's Protection","企鹅的庇护","zh-CN"
"Portable Pain","便携痛苦","zh-CN"
"Mirrored Persona","镜像人格面具","zh-CN"
"Hammer to the Face","冲脸之锤","zh-CN"
"Fishbones","鱼骨头","zh-CN"
"Gargoyle Stoneplate","石像鬼石板甲","zh-CN"
"Titanic Hydra","巨型九头蛇","zh-CN"
"Bramble Vest","棘刺背心","zh-CN"
"MissingNo","MissingNo","zh-CN"
"Chain Vest","锁子甲","zh-CN"
"Aegis of Dusk","黄昏圣盾","zh-CN"
"Unending Despair","无终恨意","zh-CN"
"Eternal Winter","永恒凛冬","zh-CN"
"Recurve Bow","反曲之弓","zh-CN"
"Giant Slayer","巨人杀手","zh-CN"
"Mending Echoes","修复型回响","zh-CN"
"Obsidian Cleaver","黑曜石切割者","zh-CN"
"Sunfire Cape","日炎斗篷","zh-CN"
"Virtue of the Martyr","殉道美德","zh-CN"
"Hand Of Justice","正义之手","zh-CN"
"Edge of Night","夜之锋刃","zh-CN"
"Tear of the Goddess","女神之泪","zh-CN"
"Zhonya's Paradox","中娅悖论","zh-CN"
"Negatron Cloak","负极斗篷","zh-CN"
"Titan's Resolve","泰坦的坚决","zh-CN"
"Knight's Vow","骑士之誓","zh-CN"
"Luden's Tempest","卢登的激荡","zh-CN"
"Spectral Cutlass","幽魂弯刀","zh-CN"
"Kraken's Fury","海妖之怒","zh-CN"
"Damage Amp","伤害增幅","zh-CN"
"Sparring Gloves","拳套","zh-CN"
"Rapid Firecannon","疾射火炮","zh-CN"
"Golden Item Remover","金制装备拆卸器","zh-CN"
"Bloodthirster","饮血剑","zh-CN"
"Statikk Shiv","斯塔缇克电刃","zh-CN"
"Sniper's Focus","狙击手的专注","zh-CN"
"Unstable Treasure Chest","不稳定的财宝箱","zh-CN"
"Archangel's Staff","大天使之杖","zh-CN"
"Aegis of Dawn","黎明圣盾","zh-CN"
"Taunt","嘲讽","zh-CN"
"Dawncore","黎明核心","zh-CN"
"The Tears of My Enemies","我敌人们的眼泪","zh-CN"
"Crown of Demacia","德玛西亚王冠","zh-CN"
"The Eternal Flame","永恒烈焰","zh-CN"
"Lightshield Crest","光盾徽章","zh-CN"
"Death's Defiance","死亡之蔑","zh-CN"
"Spear of Shojin","朔极之矛","zh-CN"
"Evenshroud","薄暮法袍","zh-CN"
"Spatula","金铲铲","zh-CN"
"Blacksmith's Gloves","铁匠手套","zh-CN"
"Blighting Jewel","枯萎珠宝","zh-CN"
"Talisman Of Ascension","飞升护符","zh-CN"
"Infinity Force","三相之力","zh-CN"
"Locket of the Iron Solari","钢铁烈阳之匣","zh-CN"
"Nashor's Tooth","纳什之牙","zh-CN"
"Suspicious Trench Coat","迷离风衣","zh-CN"
"Morellonomicon","莫雷洛秘典","zh-CN"
"Red Buff","红霸符","zh-CN"
"Crownguard","冕卫","zh-CN"
"B.F. Sword","暴风之剑","zh-CN"
"Mittens","连指手套","zh-CN"
"Adaptive Helm","适应性头盔","zh-CN"
"Deathfire Grasp","冥火之拥","zh-CN"
"Flickerblades","烁刃","zh-CN"
"Blue Buff","蓝霸符","zh-CN"
"Corrupt Vampiric Scepter","黑暗吸血鬼节杖","zh-CN"
"Last Whisper","最后的轻语","zh-CN"
"Jeweled Gauntlet","珠光护手","zh-CN"
"Giant's Belt","巨人腰带","zh-CN"
"Do You Know Who I Am?","你知道我是谁吗？","zh-CN"
"Wit's End","智慧末刃","zh-CN"
"Needlessly Large Rod","无用大棒","zh-CN"
"Horizon Focus","视界专注","zh-CN"
"Randuin's Omen","兰顿之兆","zh-CN"
"Steadfast Heart","坚定之心","zh-CN"
"Prowler's Claw","暗行者之爪","zh-CN"
"Moonstone Renewer","月石再生器","zh-CN"
"Frying Pan","金锅锅","zh-CN"
"Tactician's Crown","金铲铲冠冕","zh-CN"
"Aegis of the Legion","军团圣盾","zh-CN"
"Quicksilver","水银","zh-CN"
"Deathblade","死亡之刃","zh-CN"
"Chalice of Power","能量圣杯","zh-CN"
"Void Gauntlet","虚空护手","zh-CN"
"Silvermere Dawn","密银黎明","zh-CN"
"Tactician's Shield","金锅锅冠冕","zh-CN"
"Accomplice's Gloves","辅助手套","zh-CN"
"Warmog's Armor","狂徒铠甲","zh-CN"
"Seeker's Armguard","探索者的护臂","zh-CN"
"Void Staff","虚空之杖","zh-CN"
"Gold Collector","金币收集者","zh-CN"
"Cappa Juice","帽子饮品","zh-CN"
"Unusable Slot","不可用的栏位","zh-CN"
"Hextech Gunblade","海克斯科技枪刃","zh-CN"
"Trasmutable Relic","幻形圣物","zh-CN"
"Warmother's Gift","战母的赠礼","zh-CN"
