source,target,tgt_lng
"ヨードル","约德尔人","zh-CN"
"ゾウン","祖安","zh-CN"
"ブルーザー","斗士","zh-CN"
"クロノキーパー","时光守护者","zh-CN"
"ワーデン","神盾使","zh-CN"
"アイオニア","艾欧尼亚","zh-CN"
"ディフェンダー","护卫","zh-CN"
"ハントレス","狂野女猎手","zh-CN"
"ラバドン デスキャップ","灭世者的死亡之帽","zh-CN"
"高電圧管","电压导管","zh-CN"
"マイクロロケット","微型导弹","zh-CN"
"キネティックバリア","动能屏障","zh-CN"
"アップグレード！","升级！","zh-CN"
"マグネトロンコイル","磁控线圈","zh-CN"
"巨大化ビーム","巨大化射线","zh-CN"
"モメンタムドライブ","动量驱动器","zh-CN"
"ケンカの作法","爆裂护盾","zh-CN"
"L-90 カリバーネット","90口径绳网","zh-CN"
"オーバークロック コンデンサー","超频电容器","zh-CN"
"時の歯車","连续齿轮","zh-CN"
"チューンド オシレーター","调谐振荡器","zh-CN"
"E.M.P.","电磁脉冲","zh-CN"
"エレクトリカル オーバーロード","电流过载","zh-CN"
"不安定なコア","不稳定核心","zh-CN"
"アーマー ナリファイア","护甲消除器","zh-CN"
"超越生体","高级生命体","zh-CN"
"採掘ドリル","采矿钻机","zh-CN"
"エコーエンジン","回声引擎","zh-CN"
"アクセルゲート","加速之门","zh-CN"
"デッド マン ダガー","亡者的短剑","zh-CN"
"幸運の金貨","幸运达布隆金币","zh-CN"
"殺し屋のカトラス","残酷弯刀","zh-CN"
"ブラックマーケットの爆発物","黑市炸药","zh-CN"
"物理防御と魔法防御 +@BonusArmorMR@","+@BonusArmorMR@护甲和魔抗","zh-CN"
"攻撃速度 +@BonusAS*100@%","+@BonusAS*100@%攻击速度","zh-CN"
"最初の1つは無料！","第一份免费！","zh-CN"
"攻撃力と魔力 +@BonusAD*100@%","+@BonusAD*100@%物理加成和法术加成。","zh-CN"
"魔力 +@BonusAP@","+@BonusAP@法术加成","zh-CN"
"最大体力 +@BonusHealthPercent*100@%","+@BonusHealthPercent*100@%最大生命值","zh-CN"
"攻撃力 +@BonusAD*100@%","+@BonusAD*100@%物理加成","zh-CN"
"ブラックマーケットの再入荷","黑市补货","zh-CN"
"略奪者のダイス","强盗的骰子","zh-CN"
"山積みのシトラス","成堆柑橘","zh-CN"
"一等航海士のフリントロック","大副的燧发枪","zh-CN"
"財宝の竜巻","宝藏台风","zh-CN"
"呪われた望遠鏡","鬼影望远镜","zh-CN"
"バークナックル","酒吧指虎","zh-CN"
"キャプテンの帽子","船长的帽子","zh-CN"
"ドレッドウェイの砲撃","震畏大炮","zh-CN"
"キャプテンの醸造酒","船长的酿造品","zh-CN"
"ビルジウォーターの小型チャンピオン複製器","比尔吉沃特 次级英雄复制器","zh-CN"
"グウェンのハサミ","格温的剪子","zh-CN"
"グウェンのハサミ<rules>(残り使用回数2回)</rules>","【格温的剪子】<rules>(还可使用2次！)</rules>","zh-CN"
"グウェンのハサミ<rules>(残り使用回数3回)</rules>","【格温的剪子】<rules>(还可使用3次！)</rules>","zh-CN"
"グウェンのハサミ<rules>(残り使用回数4回)</rules>","【格温的剪子】<rules>(还可使用4次！)</rules>","zh-CN"
"グウェンのハサミ<rules>(残り使用回数5回)</rules>","【格温的剪子】<rules>(还可使用5次！)</rules>","zh-CN"
"インフィニティ エッジ","无尽之刃","zh-CN"
"レディアント ドラゴン クロウ","光明版巨龙之爪","zh-CN"
"レディアント ストライカー フレイル","光明版强袭者的链枷","zh-CN"
"レディアント アイオニック スパーク","光明版离子火花","zh-CN"
"レディアント クイックシルバー","光明版水银","zh-CN"
"レディアント ヘクステック ガンブレード","光明版海克斯科技枪刃","zh-CN"
"レディアント ヴォイド スタッフ","光明版虚空之杖","zh-CN"
"レディアント プロテクターの誓い","光明版圣盾使的誓约","zh-CN"
"レディアント ブルーバフ","光明版蓝霸符","zh-CN"
"レディアント アークエンジェル スタッフ","光明版大天使之杖","zh-CN"
"レディアント モレロノミコン","光明版莫雷洛秘典","zh-CN"
"レディアント ブランブル ベスト","光明版棘刺背心","zh-CN"
"ジ＝ロット ポータル","兹若特传送门","zh-CN"
"レディアント クラーケンの怒り","光明版海妖之怒","zh-CN"
"レディアント グインソー レイジブレード","光明版鬼索的狂暴之刃","zh-CN"
"レディアント ハンド オブ ジャスティス","光明版正义之手","zh-CN"
"レディアント サンファイア ケープ","光明版日炎斗篷","zh-CN"
"レディアント ラスト ウィスパー","光明版最后的轻语","zh-CN"
"レディアント 盗賊のグローブ","光明版窃贼手套","zh-CN"
"レディアント ワーモグ アーマー","光明版狂徒铠甲","zh-CN"
"レディアント ステラックの篭手","光明版斯特拉克的挑战护手","zh-CN"
"レディアント スピリット ビサージュ","光明版振奋盔甲","zh-CN"
"レディアント ナイト エッジ","光明版夜之锋刃","zh-CN"
"レディアント レッドバフ","光明版红霸符","zh-CN"
"レディアント 揺るがぬ心","光明版坚定之心","zh-CN"
"レディアント 巨人の誓い","光明版泰坦的坚决","zh-CN"
"レディアント ジャイアント スレイヤー","光明版巨人杀手","zh-CN"
"レディアント クラウンガード","光明版冕卫","zh-CN"
"レディアント ブラッドサースター","光明版饮血剑","zh-CN"
"レディアント ラバドン デスキャップ","光明版灭世者的死亡之帽","zh-CN"
"レディアント ジュエル ガントレット","光明版珠光护手","zh-CN"
"レディアント ガーゴイル ストーンプレート","光明版石像鬼石板甲","zh-CN"
"レディアント ナッシャー トゥース","光明版纳什之牙","zh-CN"
"レディアント ショウジンの矛","光明版朔极之矛","zh-CN"
"レディアント イーブンシュラウド","光明版薄暮法袍","zh-CN"
"レディアント インフィニティ エッジ","光明版无尽之刃","zh-CN"
"レディアント デスブレード","光明版死亡之刃","zh-CN"
"レディアント アダプティブ ヘルム","光明版适应性头盔","zh-CN"
"劣化版鏡像のペルソナ","次级镜像人格面具","zh-CN"
"心身統御のペンダント","激发之匣","zh-CN"
"プロテクターの誓い","圣盾使的誓约","zh-CN"
"クリティカルヒット！","暴击命中！","zh-CN"
"サルベージャー","打捞术","zh-CN"
"パワー解放(残り使用回数2回)","解锁强化(剩余2次使用)","zh-CN"
"パワースナックス","强化果实","zh-CN"
"不屈","顽强不屈","zh-CN"
"ハルクラッシャー","碎舰者","zh-CN"
"沈黙の帳","静止法衣","zh-CN"
"スピリット ビサージュ","振奋盔甲","zh-CN"
"バンシー ヴェール","女妖面纱","zh-CN"
"影の操り人形","暗影木偶","zh-CN"
"ブルーザーの紋章","斗士纹章","zh-CN"
"インヴォーカーの紋章","神谕者纹章","zh-CN"
"スレイヤーの紋章","裁决战士纹章","zh-CN"
"ヴァンキッシャーの紋章","征服者纹章","zh-CN"
"ロングショットの紋章","狙神纹章","zh-CN"
"韋駄天の紋章","迅击战士纹章","zh-CN"
"ディスラプターの紋章","耀光使纹章","zh-CN"
"ヨードルの紋章","约德尔人纹章","zh-CN"
"ガンスリンガーの紋章","枪手纹章","zh-CN"
"ヴォイドの紋章","虚空纹章","zh-CN"
"ピルトーヴァーの紋章","皮尔特沃夫纹章","zh-CN"
"ジャガーノートの紋章","主宰纹章","zh-CN"
"ビルジウォーターの紋章","比尔吉沃特纹章","zh-CN"
"フレヨルドの紋章","弗雷尔卓德纹章","zh-CN"
"ワーデンの紋章","神盾使纹章","zh-CN"
"アルカニストの紋章","法师纹章","zh-CN"
"ノクサスの紋章","诺克萨斯纹章","zh-CN"
"ゾウンの紋章","祖安纹章","zh-CN"
"イシュタルの紋章","以绪塔尔纹章","zh-CN"
"アイオニアの紋章","艾欧尼亚纹章","zh-CN"
"デマーシアの紋章","德玛西亚纹章","zh-CN"
"ディフェンダーの紋章","护卫纹章","zh-CN"
"ゼファー","灵风","zh-CN"
"マナザネ","魔蕴","zh-CN"
"モーグル メイル","大亨之铠","zh-CN"
"ギャンブラーの剣","投机者之刃","zh-CN"
"ムダニ デカイ ジェム","无用大宝石","zh-CN"
"決断せし投資家","坚定投资器","zh-CN"
"ダイヤモンド ハンド","钻石之手","zh-CN"
"トリックスターの鏡","诡术师之镜","zh-CN"
"タクティシャンのケープ","金锅铲冠冕","zh-CN"
"不滅の協定","永恒契约","zh-CN"
"ジークの使者","基克的先驱","zh-CN"
"盗賊のグローブ","窃贼手套","zh-CN"
"グインソー レイジブレード","鬼索的狂暴之刃","zh-CN"
"アイオニック スパーク","离子火花","zh-CN"
"獄炎のハチェット","恶火小斧","zh-CN"
"ステラックの篭手","斯特拉克的挑战护手","zh-CN"
"ドラゴン クロウ","巨龙之爪","zh-CN"
"捕食本能","掠食本能","zh-CN"
"アドレナリンモジュール","肾上腺素模块","zh-CN"
"鉄の甲皮","坚铁甲壳","zh-CN"
"棘放射","喷吐棘刺","zh-CN"
"王威の抜殻","皇室外壳","zh-CN"
"リーチングコア","榨血核体","zh-CN"
"エース","Ace","zh-CN"
"リッチ ベイン","巫妖之祸","zh-CN"
"ストライカー フレイル","强袭者的链枷","zh-CN"
"センチネル スワーム","魔像狂潮","zh-CN"
"フォビドゥン アイドル","禁忌雕像","zh-CN"
"ペングの加護","企鹅的庇护","zh-CN"
"ポータブルペイン","便携痛苦","zh-CN"
"鏡像のペルソナ","镜像人格面具","zh-CN"
"顔面ハンマー","冲脸之锤","zh-CN"
"フィッシュボーン","鱼骨头","zh-CN"
"ガーゴイル ストーンプレート","石像鬼石板甲","zh-CN"
"タイタン ハイドラ","巨型九头蛇","zh-CN"
"ブランブル ベスト","棘刺背心","zh-CN"
"MissingNo","MissingNo","zh-CN"
"チェイン ベスト","锁子甲","zh-CN"
"夕闇の加護","黄昏圣盾","zh-CN"
"終わりなき絶望","无终恨意","zh-CN"
"永遠の冬","永恒凛冬","zh-CN"
"リカーブ ボウ","反曲之弓","zh-CN"
"ジャイアント スレイヤー","巨人杀手","zh-CN"
"癒しのこだま","修复型回响","zh-CN"
"オブシディアン クリーバー","黑曜石切割者","zh-CN"
"サンファイア ケープ","日炎斗篷","zh-CN"
"マーターズ ヴァーチュ","殉道美德","zh-CN"
"ハンド オブ ジャスティス","正义之手","zh-CN"
"ナイト エッジ","夜之锋刃","zh-CN"
"女神の涙","女神之泪","zh-CN"
"ゾーニャの遡時計","中娅悖论","zh-CN"
"ネガトロン クローク","负极斗篷","zh-CN"
"巨人の誓い","泰坦的坚决","zh-CN"
"騎士の誓い","骑士之誓","zh-CN"
"ルーデン テンペスト","卢登的激荡","zh-CN"
"スペクトラル カトラス","幽魂弯刀","zh-CN"
"クラーケンの怒り","海妖之怒","zh-CN"
"ダメージ増加","伤害增幅","zh-CN"
"スパーリング グローブ","拳套","zh-CN"
"ラピッド ファイアキャノン","疾射火炮","zh-CN"
"黄金のアイテム除去装置","金制装备拆卸器","zh-CN"
"ブラッドサースター","饮血剑","zh-CN"
"スタティック シヴ","斯塔缇克电刃","zh-CN"
"スナイパー フォーカス","狙击手的专注","zh-CN"
"不安定なトレジャーチェスト","不稳定的财宝箱","zh-CN"
"アークエンジェル スタッフ","大天使之杖","zh-CN"
"夜明けの加護","黎明圣盾","zh-CN"
"挑発","嘲讽","zh-CN"
"ドーンコア","黎明核心","zh-CN"
"我が敵の涙","我敌人们的眼泪","zh-CN"
"デマーシアの王冠","德玛西亚王冠","zh-CN"
"永遠の炎","永恒烈焰","zh-CN"
"ライトシールドのクレスト","光盾徽章","zh-CN"
"デス ディファイアンス","死亡之蔑","zh-CN"
"ショウジンの矛","朔极之矛","zh-CN"
"イーブンシュラウド","薄暮法袍","zh-CN"
"鍛冶師のグローブ","铁匠手套","zh-CN"
"枯死の宝石","枯萎珠宝","zh-CN"
"超越のタリスマン","飞升护符","zh-CN"
"インフィニティ フォース","三相之力","zh-CN"
"ソラリのロケット","钢铁烈阳之匣","zh-CN"
"ナッシャー トゥース","纳什之牙","zh-CN"
"怪しげなトレンチコート","迷离风衣","zh-CN"
"モレロノミコン","莫雷洛秘典","zh-CN"
"レッドバフ","红霸符","zh-CN"
"クラウンガード","冕卫","zh-CN"
"B.F.ソード","暴风之剑","zh-CN"
"ミトン","连指手套","zh-CN"
"アダプティブ ヘルム","适应性头盔","zh-CN"
"デスファイア グラスプ","冥火之拥","zh-CN"
"フリッカーブレード","烁刃","zh-CN"
"ブルーバフ","蓝霸符","zh-CN"
"穢れたヴァンパイア セプター","黑暗吸血鬼节杖","zh-CN"
"ラスト ウィスパー","最后的轻语","zh-CN"
"ジュエル ガントレット","珠光护手","zh-CN"
"ジャイアント ベルト","巨人腰带","zh-CN"
"私を誰だと思っているんだ？","你知道我是谁吗？","zh-CN"
"ウィッツ エンド","智慧末刃","zh-CN"
"ムダニ デカイ ロッド","无用大棒","zh-CN"
"ホライゾン フォーカス","视界专注","zh-CN"
"ランデュイン オーメン","兰顿之兆","zh-CN"
"揺るがぬ心","坚定之心","zh-CN"
"プローラー クロウ","暗行者之爪","zh-CN"
"ムーンストーンの再生","月石再生器","zh-CN"
"タクティシャンの王冠","金铲铲冠冕","zh-CN"
"イージスの盾","军团圣盾","zh-CN"
"クイックシルバー","水银","zh-CN"
"デスブレード","死亡之刃","zh-CN"
"力の聖杯","能量圣杯","zh-CN"
"ヴォイド ガントレット","虚空护手","zh-CN"
"シルバーミアの夜明け","密银黎明","zh-CN"
"タクティシャンの盾","金锅锅冠冕","zh-CN"
"協力者のグローブ","辅助手套","zh-CN"
"ワーモグ アーマー","狂徒铠甲","zh-CN"
"シーカー アームガード","探索者的护臂","zh-CN"
"ヴォイド スタッフ","虚空之杖","zh-CN"
"ゴールド コレクター","金币收集者","zh-CN"
"帽子ジュース","帽子饮品","zh-CN"
"使用不可スロット","不可用的栏位","zh-CN"
"ヘクステック ガンブレード","海克斯科技枪刃","zh-CN"
"変幻の遺物","幻形圣物","zh-CN"
"戦母の贈物","战母的赠礼","zh-CN"
"アーティファクトの専門家: ホライゾン フォーカス","神器专家：视界专注","zh-CN"
